method,mean,std,count,sem
Abs-LiNGAM (Noisy),91.6718678183141,0.2891133593862314,2000,0.0064647712479094024
Abs-LiNGAM (Perfect),89.28681436073752,0.24143652095189935,2000,0.005398684730994992
BARYCA,85.54415942043994,0.15539125572234594,2000,0.003474654109042187
DIROCA (eps_0.107_delta_0.035),87.50149622711307,0.13192723105987417,2000,0.0029499825673320024
DIROCA (eps_1.0_delta_1.0),64.34501455310304,0.2085010233668087,2000,0.004662224616264563
DIROCA (eps_2.0_delta_2.0),66.42052042784742,0.23917144574106186,2000,0.005348036109539169
DIROCA (eps_4.0_delta_4.0),66.42052042784742,0.23917144574106186,2000,0.005348036109539169
DIROCA (eps_8.0_delta_8.0),66.42052042784742,0.23917144574106186,2000,0.005348036109539169
GradCA,57.185978965682686,0.15451391914004767,2000,0.003455036266670524
